Gene
ITGAL
ITGA3
ITGA2B
MMP25
DCN
CAPN1
CD44
IBSP
MUSK
TIMP2
MFAP3
TLL1
VCAN
CDH1
TNC
COL9A2
LTBP1
ELN
LAMC3
COL23A1
LAMA3
LAMC2
COL11A1
COL17A1
ACTN1
P4HA2
NTN4
ACTB
ICAM3
CAPN6
FBLN1
ITGA8
CEACAM1
COL5A3
PSEN1
COL4A4
COL19A1
ITGB5
PLOD1
ITGAE
COL16A1
CEACAM6
ADAMTS2
MMP2
NID2
LTBP4
ICAM1
P3H2
LAMB1
ITGA6
CMA1
CAPN3
COL9A3
TGFB2
TLL2
MADCAM1
MMP11
PDGFB
CTSG
MMP9
BMP7
COL20A1
SNTA1
LAMA1
TIMP1
DRP2
SGCG
MMP15
CAPN15
TGFB1
ICAM4
ICAM5
PTPRS
COMP
ITGB8
PCOLCE
SERPINE1
PLOD3
ASPN
ACTA2
SH3PXD2A
ICAM2
COL1A1
SGCA
VTN
VWF
P3H3
COL12A1
COL9A1
LAMA4
LOX
SPARC
COL7A1
ITGB6
ITGA4
LOXL3
EFEMP1
FN1
SDC1
TNR
NID1
MFAP2
P3H1
CTSD
MMP8
TTR
SPP1
LTBP2
TGFB3
TNN
FMOD
PLG
P4HA1
SSPN
MMP19
COL10A1
SDC4
MATN4
CEACAM8
COL21A1
BMP4
BMP2
GDF5
MMP24
CAPNS1
SGCE
KDR
LOXL1
NCAN
COLGALT1
PXDN
COL5A1
LAMA5
CAPN7
MATN3
EMILIN2
ITGB4
BCAN
LOXL2
LRP4
DTNA
COL4A2
ADAMTS8
CTSL
ADAM19
ITGA7
CAPN9
LAMC1
CTSV
CAPN11
DDR1
MMP7
MMP20
MMP13
THBS1
ITGA11
ADAM10
EMILIN1
DTNB
LOXL4
ADAMTS14
ITGAV
FGF2
FBN2
COL2A1
LUM
ITGB7
FBLN5
FURIN
ITGAX
ADAMTS18
COL6A1
COL6A2
APP
CAPN10
FBN3
HSPG2
ITGA10
CTSK
ADAM15
ACTA1
ITGA9
COL8A1
ADAMTS16
HAPLN1
SCUBE3
CASK
ADAM12
SERPINH1
CAPN5
NCAM1
P4HA3
MMP3
ITGB1
ADAM8
ADAM17
DST
DSPP
DMP1
UTRN
PLOD2
CAST
PRKCA
JAM2
ADAMTS1
ADAMTS5
MMP16
ADAMTS3
ITGAD
MMP14
ACAN
F11R
ADAMTS4
ACTC1
SCUBE1
ITGB2
COL26A1
ITGA5
MATN1
SDC3
VCAM1
DDR2
NCSTN
CAPN2
CAPN13
ACTG2
SGCB
CTSS
BMP10
COL6A3
FBLN2
ADAMTS9
PCOLCE2
ITGA2
CASP3
KLKB1
COL1A2
CTSB
HTRA1
JAM3
FBN1
MFAP4
MMP10
PPIB
KLK2
LTBP3
TNXB
BMP1
COL3A1
ADAM9
SNTB2
CTRB1
CTRB2
COL4A3
KLK7
COL22A1
SDC2
ITGAM
CRTAP
SGCD
COL24A1
FGG
FGA
FGB
COL8A2
LAMB2
SNTB1
TPSAB1
BSG
SNTG2
EFEMP2
COL6A5
DAG1
PHYKPL
A2M
CD151
PLEC
NRXN1
CAPN12
BGN
COL18A1
EMILIN3
ACTG1
SGCZ
P4HB
TMPRSS6
COL4A1
COL14A1
COL4A5
AGRN
COL25A1
OPTC
SPOCK3
LAMA2
MMP1
TRAPPC4
COL27A1
CD47
LAMB3
PDGFA
COL13A1
ELANE
COL4A6
MFAP5
MMP17
COLGALT2
DMD
CAPN8
COL11A2
COL5A2
COL15A1
DDR1
PRSS1
COL6A6
ITGA1
CAPN14
COL28A1
DDR1
COL11A2
TNXB
DDR1
COL11A2
DDR1
COL11A2
TNXB
CAPNS2
ITGB3
PECAM1
MMP12
PRSS1
MMP11
PRSS2
ELANE
TRAPPC4
PRSS2
CTSB
ACTG1
ITGA9
CAST
