KLHL13
CDC27
FBXL3
ASB4
MYLIP
PSMB1
UBE3C
PSMC4
RNF14
UFL1
UBR2
UBA6
RNF19A
CUL3
PSMA4
CUL7
NEDD4L
ANAPC4
CUL1
UNKL
RNF4
BTBD1
ASB1
NEDD4
RNF126
LNX1
UBE2D1
FBXW11
KLHL20
UBE2A
UBE2K
ITCH
UBE2D4
KEAP1
UBA5
HACE1
HUWE1
PSMC5
KLHL42
ANAPC5
HECTD1
CDC23
PSMD8
FBXL19
CDC34
KLHL22
FBXO7
RBX1
TRIM9
PSMC6
PSMA3
ASB2
PSMC1
PSMB5
PSMA6
PSMA7
ASB9
MGRN1
PSMD7
FBXO31
STUB1
ELOB
HERC1
UBE2W
FZR1
PSMA2
UBE2R2
FBXW4
FBXL15
CUL2
UBE2S
FBXL20
PSMD3
TRIM37
BLMH
PSMD11
SMURF2
WSB1
UBE2D3
KLHL2
FBXW7
KLHL5
ZBTB16
UBE4A
SPSB2
FBXO9
FBXL4
RNF130
LNPEP
SKP1
UBE3A
RNF7
CBLB
PSMD14
ASB3
RNF19B
FBXO2
FBXO6
CDC20
UBE3D
FBXO30
FBXL5
UBE2B
TRIM32
FBXW2
AREL1
KBTBD7
RBBP6
WWP1
RNF114
RBCK1
PSMB2
HECTD3
FBXL12
UBR4
FBXL16
RNF6
SEM1
HERC2
ANAPC13
PSMA1
CDC16
UBAC1
ADRM1
UBE2M
UBA1
RLIM
UBE2D2
TRAF7
FBXW9
TRIM21
LRRC41
UBE2G1
FBXO44
MKRN1
VHL
RNF138
TPP2
FBXO21
FBXL8
LMO7
PSMB7
RNF144B
FBXO11
HECW2
HERC3
HERC6
HERC5
UBE2Q2
DET1
NPEPPS
ANAPC11
FBXO15
PSMB6
PSMA5
RPS27A
UBA3
DCAF1
SKP2
KLHL3
TRIM41
RNF217
TRIM50
ASB15
TRIM4
ASB10
FBXO10
ASB6
LRSAM1
HERC4
UBC
UBE3B
FBXO4
TRIM36
ANAPC1
TRIP12
ASB17
LONRF1
TRIM11
SH3RF1
ELOC
FBXL18
UBE2L6
FBXO32
RNF111
TRIM63
FBXW5
UBE2Z
PSMB4
UBR1
UBE2J2
UBE2Q1
FBXL13
PSMC2
FBXO27
ASB16
CCNF
KLHL21
FBXO41
KBTBD8
RNF25
PSMD6
RCHY1
FBXO40
DTX3L
FBXW12
RNF123
ASB5
ANAPC10
ASB11
HECTD2
LRR1
KBTBD6
PSMC3
BTRC
CUL5
FBXO22
KCTD6
UBE2V2
UBE2E3
UBE2E1
UBB
RNF34
SPSB1
FBXL14
FBXW10
THOP1
PSMD1
RNF213
GLMN
FBXW8
UBE2C
SPSB4
PSMD2
CBLL2
UBE2O
ANAPC2
CDC26
MEX3C
UBE2U
ARIH2
UBE2N
ASB8
KLHL11
ZNRF2
RNF182
PJA1
SIAH2
RNF41
ASB18
UBA7
UBE2E2
ASB7
FBXL7
KLHL25
TRAIP
UBE2F
SOCS3
UBE2G2
BTBD6
UBOX5
SOCS1
PRKN
PSMD13
UBE2L3
TRIM69
ZNRF1
UBE2H
RNF220
ASB13
SIAH1
ANAPC7
PSMD12
FBXL22
MIB2
ATG7
KLHL9
SMURF1
UBE2J1
LTN1
ASB12
DZIP3
PJA2
TRIM39
UBA52
KBTBD13
ASB14
KLHL41
KCTD7
UBE2V1
GAN
RNF115
FBXO17
PSMB3
TRIM69
ASB2
PSMC4
FBXO17
TRIM71
LTN1
