NFYA
MBTPS2
EXTL3
DDX11
CUL7
HSPA5
HERPUD1
CREB3L3
PDIA5
NFYC
PPP2R5B
WIPI1
ASNS
ACADVL
MYDGF
EXOSC7
EXOSC5
DIS3
ADD1
KHSRP
DNAJB11
KDELR3
XBP1
ARFGAP1
DNAJC3
GSK3A
FKBP14
CREB3
EXOSC3
GOSR2
CCL2
WFS1
ZBTB17
ATF6
EXOSC8
SERP1
NFYB
EXOSC9
KLHDC3
SSR1
EIF2S2
ATF4
DNAJB9
EXOSC2
EIF2S3
EIF2S1
EDEM1
TLN1
PREB
SEC31A
PARN
MBTPS1
HDGF
CREB3L4
PDIA6
SRPRB
IGFBP1
HYOU1
CEBPG
CXXC1
TATDN2
CREB3L1
EXTL1
ATP6V0D1
SHC1
LMNA
SYVN1
EXTL2
ATF3
CREBRF
DCSTAMP
TPP1
HSP90B1
ATF6B
CXCL8
EXOSC1
EIF2AK3
CEBPB
DCP2
YIF1A
DDIT3
CTDSP2
ERN1
EXOSC4
CALR
CREB3L2
SRPRA
TSPYL2
GFPT1
DCTN1
ATF6B
EXOSC6
ATF6B
ATF6B
PLA2G4B
SULT1A3
PARN
HYOU1
