Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|A0A075B6I9|LV746_HUMAN,IGLV7-46,20.66764917863815,20.81276128189512,20.761102643384127,20.539589315345015,21.64619415406143,20.96073431290601,21.794052358667173,21.95113210985812,21.33321927149722,21.279919843997884,21.5454512567363,21.67832618463158,20.875775006387176,20.857055848209296,20.546805465275618,20.813375694727366,19.75167504985753,19.64873746586483,19.283879456573235,20.412265921562263,20.929130363510232,21.627805027349336,21.777594148689,20.658927771412127,20.097879320157414,21.037155685338064,21.28275038804553,20.191685887199323,21.30673120931142,21.403414976106838,22.211724654824415,22.032228679726064,20.968587808525456,20.58276130678793,21.130627198644234,21.067859531076895,21.324682960671847,21.138705502317254,21.54658263826474,21.48839574921362,,,,,,,,,,
sp|A0A075B6J9|LV218_HUMAN,IGLV2-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.786569632887133,19.64784297479285,20.222815468514042,19.53640071360829,,,,,,,,,,
sp|A0A075B6K0|LV316_HUMAN,IGLV3-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.425664686409906,20.03065244363072,20.633250220355567,20.2575974853979,20.724312312325395,20.312391142325758,20.448348478980837,20.795758463854074,,,,,,,,,,,,,,
sp|A0A075B6K4|LV310_HUMAN,IGLV3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6K5|LV39_HUMAN,IGLV3-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6P5|KV228_HUMAN,IGKV2-28,,,,,25.31005766460427,25.264784823191473,25.071650253412717,24.730002031369196,24.46554171797558,24.68690133661575,24.571499644422072,24.88741479307407,,,,,23.89862458513595,23.886468240760664,24.31034898933495,24.135031366849155,24.462128768150286,24.35404253926079,24.273005391521945,24.661806874991875,24.329716802008925,24.194615215512844,24.14923643903098,24.341045545283468,25.091848290396396,25.071878847133284,25.111820875220403,24.890063039176106,24.535530218511852,24.672395584751765,24.076608750828147,23.86256809441764,,,,,26.000782564707876,25.300086744955138,23.897554573114903,24.239294414372445,24.567383548726152,25.109286153698257,24.94377240156922,25.30047102164611,25.304255564369704,25.332296379727406
sp|A0A075B6Q5|HV364_HUMAN,IGHV3-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6R2|HV404_HUMAN,IGHV4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10179789101392,19.65816117210426,,19.56200648099469,19.437891637363048,19.452675113850066,20.74931259518801,21.676922740730955,21.0237107816541,21.35162698962774
sp|A0A075B6R9|KVD24_HUMAN,IGKV2D-24,,,,,22.69152580436555,22.74281381093544,22.811650889395853,22.608746773669832,22.251259689544042,21.982010704590703,21.869834544070986,21.904159894346517,22.12918652844602,22.355021818280477,21.82898895845061,,21.45563257914932,21.604212836313938,21.344840697961676,21.563751997668962,22.109976176909353,22.766708085812404,22.647034018033942,22.15132474453081,21.735905597343514,21.87371493796724,22.34854371351128,22.34670494832907,,22.212754172172918,22.467157912442904,22.468094690990597,21.751824107965177,22.39111987397153,21.73250347007426,21.5649629219018,22.586244626281793,22.555106817940064,22.291215231846213,22.452893101206122,23.811698257423014,22.83710666222271,22.18262290045701,21.252094533773356,23.183471468780244,23.99197473797244,23.19505439763788,22.32729411869293,22.657413280690594,22.832858846800796
sp|A0A075B6S2|KVD29_HUMAN,IGKV2D-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6S5|KV127_HUMAN,IGKV1-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6S9|KV137_HUMAN,IGKV1-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
