Gene,Fast_vs_Slow_P,Protein,Correlation_with_Progression
TTR,0.0011840725699019,sp|P02766|TTHY_HUMAN,0.7327631491538643
C4B,0.0096905814970582,sp|P0C0L5|CO4B_HUMAN,0.5595971167692878
PCOLCE,0.0379411131018025,sp|Q15113|PCOC1_HUMAN,0.5501928118523122
MMP2,0.0055866880829976,sp|P08253|MMP2_HUMAN,0.5488360925497189
C8G,0.0441724390437439,sp|P07360|CO8G_HUMAN,0.5465929875571451
PPIB,1.7409895596289845e-11,sp|P23284|PPIB_HUMAN,0.5235331993976641
CFB,0.0087326168450906,sp|P00751|CFAB_HUMAN,-0.5857892664722569
MFAP4,0.0317227016288727,sp|P55083|MFAP4_HUMAN,-0.5938406071061519
