Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,ALS_11_T1_MaxLFQ_Intensity,ALS_11_T2_MaxLFQ_Intensity,ALS_11_T3_MaxLFQ_Intensity,ALS_11_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|A0A075B6I9|LV746_HUMAN,IGLV7-46,20.637831849021307,20.782943952278277,20.731285313767284,20.50977198572817,23.065442658657886,23.08845245023442,23.2744484520209,23.347578712361578,21.616376824444586,20.930916983289166,21.76423502905033,21.921314780241275,21.303401941880377,21.25010251438104,21.515633927119456,21.648508855014736,20.845957676770333,20.827238518592452,20.516988135658774,20.783558365110522,19.721857720240685,19.618920136247986,19.25406212695639,20.38244859194542,20.89931303389339,21.597987697732492,21.747776819072158,20.629110441795284,20.06806199054057,21.00733835572122,21.252933058428688,20.16186855758248,21.276913879694575,21.373597646489994,22.181907325207572,22.00241135010922,20.938770478908612,20.552943977171086,21.10080986902739,21.03804220146005,21.294865631055004,21.10888817270041,21.516765308647898,21.458578419596776,,,,,,,,,,
sp|A0A075B6J9|LV218_HUMAN,IGLV2-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75675230327029,19.618025645176008,20.1929981388972,19.506583383991448,,,,,,,,,,
sp|A0A075B6K0|LV316_HUMAN,IGLV3-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.395847356793062,20.000835114013878,20.603432890738723,20.227780155781055,20.69449498270855,20.282573812708915,20.418531149363993,20.76594113423723,,,,,,,,,,,,,,
sp|A0A075B6K4|LV310_HUMAN,IGLV3-10,,,,,24.37115971516329,23.997564795307788,24.731486638772747,24.676010488129126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6K5|LV39_HUMAN,IGLV3-9,,,,,23.791158825607305,23.790217074208712,24.433946620626788,24.423093711224926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6P5|KV228_HUMAN,IGKV2-28,,,,,25.441934074397643,25.943750564097062,25.690701163903572,25.79372179520664,25.280240334987425,25.23496749357463,25.041832923795873,24.700184701752352,24.435724388358736,24.657084006998907,24.54168231480523,24.857597463457225,,,,,23.868807255519105,23.85665091114382,24.280531659718108,24.10521403723231,24.432311438533443,24.324225209643945,24.2431880619051,24.63198954537503,24.29989947239208,24.164797885896,24.119419109414135,24.311228215666624,25.062030960779552,25.04206151751644,25.08200354560356,24.860245709559262,24.505712888895008,24.64257825513492,24.046791421211303,23.832750764800796,,,,,25.970965235091032,25.270269415338294,23.86773724349806,24.2094770847556,24.53756621910931,25.079468824081413,24.913955071952376,25.270653692029267,25.27443823475286,25.302479050110563
sp|A0A075B6Q5|HV364_HUMAN,IGHV3-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6R2|HV404_HUMAN,IGHV4-4,,,,,21.82674097301375,21.26208893506212,21.694088538928934,21.97930639471633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.071980561397076,19.628343842487418,,19.532189151377846,19.408074307746205,19.422857784233223,20.719495265571165,21.64710541111411,20.993893452037256,21.321809660010896
sp|A0A075B6R9|KVD24_HUMAN,IGKV2D-24,,,,,23.5833068035393,23.24558911815151,23.76950043605525,23.682174063176195,22.661708474748707,22.712996481318598,22.78183355977901,22.57892944405299,22.2214423599272,21.95219337497386,21.840017214454143,21.874342564729673,22.099369198829176,22.325204488663633,21.799171628833765,,21.425815249532477,21.574395506697094,21.315023368344832,21.53393466805212,22.08015884729251,22.73689075619556,22.6172166884171,22.121507414913967,21.70608826772667,21.843897608350396,22.318726383894436,22.316887618712226,,22.182936842556074,22.43734058282606,22.438277361373753,21.722006778348334,22.361302544354686,21.702686140457416,21.535145592284955,22.55642729666495,22.52528948832322,22.26139790222937,22.42307577158928,23.78188092780617,22.807289332605865,22.152805570840165,21.222277204156512,23.1536541391634,23.962157408355598,23.165237068021035,22.297476789076086,22.62759595107375,22.803041517183953
sp|A0A075B6S2|KVD29_HUMAN,IGKV2D-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
