Gene,Percent_Missing
P00767,92.5925925925926
P00883,85.18518518518519
P02663,92.5925925925926
P02666,100.0
P02769,100.0
P15241,92.5925925925926
A0A075B6H7,37.03703703703704
A0A075B6H9,100.0
A0A075B6I0,92.5925925925926
A0A075B6J9,92.5925925925926
A0A075B6K0,85.18518518518519
A0A075B6K4,92.5925925925926
A0A075B6K5,92.5925925925926
A0A075B6Q5,100.0
A0A075B6R2,75.92592592592592
A0A075B6S2,100.0
A0A075B6S5,92.5925925925926
A0A075B6S9,100.0
A0A0A0MT89,92.5925925925926
A0A0B4J1U3,92.5925925925926
A0A0B4J1V1,94.44444444444444
A0A0B4J1V2,90.74074074074075
A0A0B4J1Y9,94.44444444444444
A0A0B4J2D9,100.0
A0A0B4J2H0,100.0
A0A0C4DH24,100.0
A0A0C4DH25,92.5925925925926
A0A0C4DH29,100.0
A0A0C4DH31,81.48148148148148
A0A0C4DH33,100.0
A0A0C4DH34,37.03703703703704
A0A0C4DH35,100.0
A0A0C4DH36,92.5925925925926
A0A0C4DH43,66.66666666666666
A0A0C4DH67,87.03703703703704
A0A0C4DH72,77.77777777777779
A0A0C4DH73,100.0
A0A0J9YX35,90.74074074074075
A0A0J9YXX1,40.74074074074074
A0A2R8Y4L2,55.55555555555556
A0A8I5KQE6,100.0
A0M8Q6,92.5925925925926
A2NJV5,85.18518518518519
A5D6W6,94.44444444444444
A6NGN9,100.0
A6NLU5,75.92592592592592
A6NMY6,94.44444444444444
A7E2Y1,100.0
B2RXH8,100.0
C9JVW0,100.0
E7ETH6,92.5925925925926
E9PAV3,100.0
O00142,92.5925925925926
O00148,90.74074074074075
O00299,96.29629629629629
O00451,77.77777777777779
O00461,94.44444444444444
O00462,100.0
O00468,37.03703703703704
O14773,66.66666666666666
O14786,96.29629629629629
O14917,92.5925925925926
O15031,77.77777777777779
O15197,94.44444444444444
O15335,100.0
O15354,59.25925925925925
O15527,100.0
O43175,100.0
O43286,100.0
O43291,92.5925925925926
O43390,100.0
O43405,92.5925925925926
O43432,100.0
O43451,96.29629629629629
O43529,100.0
O43556,85.18518518518519
O43567,96.29629629629629
O43707,94.44444444444444
O43827,75.92592592592592
O43866,100.0
O60241,57.407407407407405
O60245,100.0
O60279,55.55555555555556
O60883,87.03703703703704
O75015,85.18518518518519
O75071,92.5925925925926
O75093,92.5925925925926
O75173,100.0
O75443,100.0
O75503,85.18518518518519
O75509,92.5925925925926
O75711,92.5925925925926
O75787,100.0
O94760,88.88888888888889
O94769,92.5925925925926
O94772,92.5925925925926
O94832,100.0
O94910,92.5925925925926
O94991,100.0
O95158,70.37037037037037
O95196,92.5925925925926
O95758,100.0
P00505,94.44444444444444
P00558,72.22222222222221
P00739,92.5925925925926
P00742,96.29629629629629
P00915,94.44444444444444
P01127,74.07407407407408
P01178,100.0
P01344,92.5925925925926
P01591,88.88888888888889
P01593,92.5925925925926
P01599,37.03703703703704
P01601,100.0
P01602,44.44444444444444
P01624,77.77777777777779
P01703,94.44444444444444
P01704,92.5925925925926
P01705,100.0
P01706,81.48148148148148
P01714,74.07407407407408
P01717,44.44444444444444
P01721,100.0
P01742,100.0
P01814,94.44444444444444
P01817,100.0
P01860,40.74074074074074
P01861,31.48148148148148
P01877,92.5925925925926
P01880,92.5925925925926
P02042,96.29629629629629
P02144,100.0
P02511,100.0
P03950,94.44444444444444
P04003,92.5925925925926
P04070,100.0
P04083,94.44444444444444
P04085,92.5925925925926
P04114,100.0
P04180,35.18518518518518
P04211,81.48148148148148
P04264,62.96296296296296
P04278,64.81481481481481
P04430,79.62962962962963
P04439,92.5925925925926
P04792,33.33333333333333
P04843,94.44444444444444
