Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,ALS_11_T1_MaxLFQ_Intensity,ALS_11_T2_MaxLFQ_Intensity,ALS_11_T3_MaxLFQ_Intensity,ALS_11_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|O94772|LY6H_HUMAN,LY6H,,,,,2260251.0,530351.1,664278.2,1578660.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|O94832|MYO1D_HUMAN,MYO1D,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|O94856|NFASC_HUMAN,NFASC,1269990.2,1279524.1,1173188.0,1376289.9,5901792.0,6269417.5,5798809.0,5835954.5,388479.03,532398.94,264366.75,254737.55,1470404.6,1547588.0,1425865.4,1383759.5,1845288.0,1614987.6,1886415.4,1708467.6,1136765.9,1346931.9,1309085.4,1214610.1,1923192.2,1681404.4,1615529.0,1846721.6,1155199.8,616528.4,792348.25,939972.56,758424.3,714449.75,782599.0,833802.06,960224.4,953676.3,884991.0,859481.3,656956.1,642811.3,614885.0,696924.25,961651.4,1319440.0,1407335.2,1421108.0,1266611.9,1438152.4,1226257.8,965308.7,1148103.0,1261796.9
sp|O94910|AGRL1_HUMAN,ADGRL1,0.0,0.0,0.0,0.0,794208.06,652828.6,502427.6,644440.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|O94919|ENDD1_HUMAN,ENDOD1,1877625.1,2180838.0,1610330.2,2553584.8,3236979.5,2533675.5,1986880.8,1883375.8,0.0,0.0,0.0,0.0,2403499.8,2470154.5,2017997.6,2663020.5,3601146.0,3372487.2,3092944.0,3123574.5,2074819.1,1593274.1,1829061.5,1503333.9,1179471.0,1222629.9,1269474.0,1074523.0,0.0,0.0,0.0,0.0,1317197.2,1304854.8,1440822.5,966728.06,754034.8,1209830.5,0.0,0.0,0.0,0.0,0.0,0.0,1704447.4,2039943.2,1522826.5,1636671.0,1414469.2,1481456.9,1377445.2,1350374.8,1196480.0,1556970.5
sp|O94985|CSTN1_HUMAN,CLSTN1,11284303.0,10562491.0,7158174.5,8768797.0,10805904.0,10766767.0,11383494.0,12707071.0,2526436.8,2215008.0,2120626.0,2720103.8,13942289.0,12559217.0,12682753.0,13458806.0,11513698.0,12376760.0,11797115.0,12201448.0,10875267.0,12708491.0,10307042.0,7036145.0,9369763.0,6962157.5,7923298.5,6189547.0,7391969.0,6817489.5,4638274.0,5199830.5,6897985.5,7813756.5,7872184.5,6380477.0,4300762.5,5785743.5,5408897.0,5260852.0,3534722.5,4515054.0,3946719.2,5238667.5,5975643.5,10481213.0,13209827.0,11281943.0,9453577.0,7670943.5,9357286.0,5767978.5,6442242.0,7095058.0
sp|O94991|SLIK5_HUMAN,SLITRK5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|O95158|NXPH4_HUMAN,NXPH4,0.0,894607.3,859034.0,609287.8,576742.94,582710.25,751835.6,739017.1,,,,,606205.06,699748.7,939971.1,702307.06,0.0,0.0,0.0,0.0,517247.7,528763.25,0.0,385582.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522169.1,0.0,661102.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|O95196|CSPG5_HUMAN,CSPG5,0.0,0.0,0.0,0.0,2732962.2,2267246.0,1858935.4,1303748.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|O95445|APOM_HUMAN,APOM,448148.9,647716.1,0.0,387349.22,,,,,861793.0,1475831.8,1145739.4,829091.25,704260.5,901138.3,622320.1,345775.78,0.0,616793.7,0.0,481698.66,744211.2,963219.4,1214888.0,1012899.56,1746018.5,1019629.0,859202.94,2383244.2,2268905.2,1018089.06,946666.94,1448036.8,723305.6,645587.1,0.0,0.0,0.0,1286399.2,0.0,289409.62,786559.75,0.0,511068.53,544155.06,0.0,913088.2,504257.9,0.0,762205.4,689279.7,0.0,948828.2,1274048.4,799466.75
